Nome;Lattes
Alejandro Rafael Garcia Ramirez;http://lattes.cnpq.br/7650712967257738
Aluizio Haendchen Filho;http://lattes.cnpq.br/7194396439993622
André Luís Alice Raabe;http://lattes.cnpq.br/3163271519013006
Anita Maria da Rocha Fernandes;http://lattes.cnpq.br/8716094042714766
Cesar Albenes Zeferino;http://lattes.cnpq.br/9888386354516064
Douglas Rossi de Melo;http://lattes.cnpq.br/3571182795787244
Laio Oriel Seman;http://lattes.cnpq.br/8450346716756143
Michelle Silva Wangham;http://lattes.cnpq.br/8951163088992771
Raimundo Celeste Ghizoni Teive;http://lattes.cnpq.br/6094793991932450
Rudimar Luís Scaranto Dazzi;http://lattes.cnpq.br/9340343036686762
Wemerson Delcio Parreira;http://lattes.cnpq.br/0878310617104095
Bruno Araujo Cautiero Horta;http://lattes.cnpq.br/0146165943413476
Lucia Maria Martins Giraffa;http://lattes.cnpq.br/8787637274769944
Maurício de Campos;http://lattes.cnpq.br/7207601062237405
Altamiro Amadeu Susin;http://lattes.cnpq.br/6766389440522985
Valderi Reis Quietinho Leithardt;http://lattes.cnpq.br/9051317571298260