;Nome;Lattes;Início do Vínculo;Fim do Vínculo;;Início no Quadriênio;Fim no Quadriênio;Participação no Quadriênio;;2013;2014;2015;2016;;;
;Alejandro Rafael García Ramírez;http://lattes.cnpq.br/7650712967257738;2007-03-01;-;;2013-01-01;2016-12-31;1,0;;XXXX;XXXX;XXXX;XXXX;;;
;André Luís Alice Raabe;http://lattes.cnpq.br/3163271519013006;2007-03-01;-;;2013-01-01;2016-12-31;1,0;;XXXX;XXXX;XXXX;XXXX;;;
;Anita Maria da Rocha Fernandes;http://lattes.cnpq.br/8716094042714766;2007-03-01;-;;2013-01-01;2016-12-31;1,0;;XXXX;XXXX;XXXX;XXXX;;;
;Antonio Carlos Sobieransky;http://lattes.cnpq.br/3516067759610109;2015-03-02;2018-03-22;;2015-03-02;2016-12-31;0,5;;----;----;XXXX;XXXX;;;
;Cesar Albenes Zeferino;http://lattes.cnpq.br/9888386354516064;2007-03-01;-;;2013-01-01;2016-12-31;1,0;;XXXX;XXXX;XXXX;XXXX;;;
;Eros Comunello;http://lattes.cnpq.br/6848996939728495;2007-03-01;-;;2013-01-01;2016-12-31;1,0;;XXXX;XXXX;XXXX;XXXX;;;
;Fabiane Barreto Vavassori Beniti;http://lattes.cnpq.br/7951999302081531;2010-03-01;2014-06-30;;2013-01-01;2014-06-30;0,4;;XXXX;XX--;----;----;;;
;Marcello Thry;http://lattes.cnpq.br/4748551071146032;2007-03-01;-;;2013-01-01;2016-12-31;1,0;;XXXX;XXXX;XXXX;XXXX;;;
;Michelle Silva Wangham;http://lattes.cnpq.br/8951163088992771;2008-03-01;-;;2013-01-01;2016-12-31;1,0;;XXXX;XXXX;XXXX;XXXX;;;
;Raimundo Celeste Ghizone Teive;http://lattes.cnpq.br/6094793991932450;2007-03-01;-;;2013-01-01;2016-12-31;1,0;;XXXX;XXXX;XXXX;XXXX;;;
;Rudimar Luís Scaranto Dazzi;http://lattes.cnpq.br/9340343036686762;2010-03-01;-;;2013-01-01;2016-12-31;1,0;;XXXX;XXXX;XXXX;XXXX;;;