Nome Evento;Sigla
CONGRESO INTERAMERICANO DE COMPUTACIÓN APLICADA A LA INDUSTRIA DE PROCESOS;CAIP
IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES;CISTI
DESIGN AND TECHNOLOGY OF INTEGRATED SYSTEMS IN NANOSCALE ERA;DTIS
CONGRESSO DE PESQUISA E ENSINO EM TRANSPORTES;ANPET
IAA LATIN AMERICA CUBESAT WORKSHOP;IAA-LACW
 IAA LATIN AMERICA CUBESAT WORKSHOP;IAA-LACW
ACM SYMPOSIUM ON DESIGN AND ANALYSIS OF INTELLIGENT VEHICULAR NETWORKS AND APPLICATIONS;DIVANet
ANNUAL MEETING OF THE AMERICAN EDUCATIONAL RESEARCH ASSOCIATION;AERA
CONFERÊNCIA INTERNACIONAL SOBRE AGENTES E INTELIGÊNCIA ARTIFICIAL;ICAART
CONGRESO INTERNACIONAL DE EDUCACIÓN SUPERIOR;UNIVERSIDAD
CONGRESSO DE GESTÃO E CONTROLADORIA;COGECONT
CONGRESSO INTERNACIONAL DE ENGENHARIA;ICEUBI
CONGRESSO NACIONAL DE INOVAÇÃO E TECNOLOGIA;INOVA
CONGRESSO SUL BRASILEIRO DE COMPUTAÇÃO;SULCOMP
ENCUENTRO REGIONAL IBEROAMERICANO DEL CIGRE;ERIAC
ESCOLA REGIONAL DE BANCO DE DADOS;ERBD
ESCOLA REGIONAL DE REDES DE COMPUTADORES;ERRC
LATIN AMERICAN CUBESAT WORKSHOP;LACW
SEMINÁRIOS EM ADMINISTRAÇÃO;SemeAd
SIMPÓSIO CIÊNCIA E TECNOLOGIA AMBIENTAL;SCTA
SIMPÓSIO DE ESPECIALISTAS EM PLANEJAMENTO DA OPREAÇÃO E EXPANSÃO ELÉTRICA;SEBOPE
SIMPÓSIO DE SISTEMAS COMPUTACIONAIS DE ALTO DESEMPENHO;WSCAD
WORKSHOP EM BLOCKCHAIN TEORIA, TECNOLOGIAS E APLICAÇÕES;WBlockchain
WORKSHOP EM BLOCKCHAIN: TEORIA, TECNOLOGIAS E APLICAÇÕES;WBlockchain
CONGRESSO BRASILEIRO DE ERGONOMIA;ABERGO
COMMUNITY MODELING AND ANALYSIS SYSTEM CONFERENCE;CMAS
INTERNATIONAL CONFERENCE ON GRID AND PERVASIVE COMPUTING;GPC
WORKSHOP ON OPEN-SOURCE EDA TECHNOLOGY;WOSET
SIMPÓSIO SUL DE MICROELETRÔNICA;SIM
WORKSHOP REGIONAL DE SEGURANÇA DA INFORMAÇÃO E DE SISTEMAS COMPUTACIONAIS;WRSeg
CONFÉRENCE D'INFORMATIQUE EN PARALLÉLISME, ARCHITECTURE ET SYSTÈME;COMPAS
CONGRESSO INTERDISCIPLINAR DA FASETE;CONINFA
SIMPÓSIO LATINO-AMERICANO EM PESQUISA OPERACIONAL E INTELIGÊNCIA ARTIFICIAL;SLIOLA
CONCURSO DE TESES E DISSERTAÇÕES DA SBGAMES;CTD-SBGAMES
WORKSHOP DE INFORMAÇÃO, DADOS E TECNOLOGIA;WIDAT
WORKSHOP DE TRABALHOS DE INICIAÇÃO CIENTÍFICA E GRADUAÇÃO;WTG
WORKSHOP DE INICIAÇÃO CIENTÍFICA DO WSCAD;WSCAD-WIC
ENCONTRO NACIONAL DE PESQUISA EM CIÊNCIA DA INFORMAÇÃO;ENANCIB
SIMPÓSIO BRASILEIRO DE RECURSOS HÍDRICOS;SBRH
COLÓQUIOS INTERNACIONAIS SOBRE GESTÃO UNIVERSITÁRIA;CIGU
CONCURSO DE TRABALHOS DE INICIAÇÃO CIENTÍFICA DA SBC;CTIC-SBC
EUROPEAN SYMPOSIUM ON RESEARCH IN COMPUTER SECURITY;ESORICS
INTERNATIONAL CONFERENCE ON NETWORKS;ICN-IARIA
INTERNATIONAL CONFERENCE ON CRYPTOLOGY IN AFRICA;AFRICACRYPT
JORNADAS DE ENSEÑANZA UNIVERSITARIA DE LA INFORMÁTICA;JENUI
CONFERÊNCIA SUL EM MODELAGEM COMPUTACIONAL;MCSUL
CONFERENCE IN METHODOLOGIES AND INTELLIGENT SYSTEMS FOR TECHNOLOGY ENHANCED LEARNING;MIS4TEL
ITALIAN SYMPOSIUM ON ADVANCED DATABASE SYSTEMS;SEBD
IEEE INTERNATIONAL CONFERENCE ON BLOCKCHAIN AND CRYPTOCURRENCY;ICBC
WORKSHOP ON PROGRAMMABILITY AND ARCHITECTURES FOR HETEROGENEOUS MULTICORES;MULTIPROG
WORKSHOP ON THESIS AND DISSERTATIONS IN DATABASES OF THE SBBD;WTD-SBBD
EAST EUROPEAN CONFERENCE ON ADVANCES IN DATABASES AND INFORMATION SYSTEMS;ADBIS
IEEE INTERNATIONAL CONGRESS ON BIG DATA;IEEE BigData
MICROELECTRONICS STUDENTS FORUM;SFORUM
INTERNATIONAL SYMPOSIUM ON COMPUTER-BASED MEDICAL SYSTEMS;CBMS
WORKSHOP ON THESIS AND DISSERTATIONS IN DATABASES OF THE SBBD;WTD-SBBD
REUNIÃO DA ABAVE;ABAVE
CONGRESSO BRASILEIRO DE ENSINO SUPERIOR A DISTÂNCIA;ESUD
BRAZILIAN SYMPOSIUM ON SOFTWARE COMPONENTS, ARCHITECTURES, AND REUSE;CBSOFT